name,navanLink,picture,starRating,navanRating,perNight,total,latitude,longitude
The Capitol Kempinski Hotel Singapore,https://app.navan.com/app/user2/search/hotels/5470ac83-7ac7-4e66-b099-1fc927ea15be/hotels/cf4cd8dc-51b8-46a5-9e72-80364077460b,https://i.travelapi.com/lodging/11000000/10590000/10589200/10589136/db201523_b.jpg,5-star hotel,8.9 Very good,$314 nightly,"$1,883",1.2939909,103.8508973
"Swissotel The Stamford, Singapore",https://app.navan.com/app/user2/search/hotels/5470ac83-7ac7-4e66-b099-1fc927ea15be/hotels/63ec8511-d001-42e3-9834-dc07384e65f9,https://i.travelapi.com/lodging/1000000/10000/400/311/27d65d67_b.jpg,5-star hotel,8.7 Very good,$227 nightly,"$1,580",1.2933171,103.8533985
Pullman Singapore Hill Street,https://app.navan.com/app/user2/search/hotels/5470ac83-7ac7-4e66-b099-1fc927ea15be/hotels/90c3c3d3-4867-40d9-9124-0703fbfba76a,https://i.travelapi.com/lodging/94000000/93490000/93487000/93486994/448947f0_b.jpg,5-star hotel,8.7 Very good,$201 nightly,"$1,272",1.2936762,103.8506106
JW Marriott Hotel Singapore South Beach,https://app.navan.com/app/user2/search/hotels/5470ac83-7ac7-4e66-b099-1fc927ea15be/hotels/5ed8f6fd-1061-46d0-9a11-213f8f00816f,https://i.travelapi.com/lodging/10000000/9640000/9636100/9636009/1a00357d_b.jpg,5-star hotel,8.8 Very good,$314 nightly,"$1,885",,
Carlton Hotel Singapore,https://app.navan.com/app/user2/search/hotels/5470ac83-7ac7-4e66-b099-1fc927ea15be/hotels/9508114f-dc58-48f0-a353-0480ef152a9c,https://i.travelapi.com/lodging/1000000/900000/892600/892568/896a80bd_b.jpg,4.5-star hotel,8.5 Very good,$186 nightly,"$1,117",1.2961064,103.852572
"PARKROYAL COLLECTION Marina Bay, Singapore",https://app.navan.com/app/user2/search/hotels/5470ac83-7ac7-4e66-b099-1fc927ea15be/hotels/e0ebdfb8-2924-4c11-9076-5fb0a05ee5a8,https://i.travelapi.com/lodging/1000000/330000/328800/328749/5eb099d7_b.jpg,5-star hotel,9.0 Excellent,$309 nightly,"$1,855",1.29161,103.8568157
Fairmont Singapore,https://app.navan.com/app/user2/search/hotels/5470ac83-7ac7-4e66-b099-1fc927ea15be/hotels/031755b7-e656-47c0-8526-06495aaf521f,https://i.travelapi.com/lodging/1000000/870000/861900/861823/8346b5e3_b.jpg,5-star hotel,8.8 Very good,$259 nightly,"$1,798",1.2941133,103.8539484
Grand Park City Hall,https://app.navan.com/app/user2/search/hotels/5470ac83-7ac7-4e66-b099-1fc927ea15be/hotels/780b2455-5e49-4d70-baea-cdf248c1ee71,https://i.travelapi.com/lodging/1000000/900000/893000/892942/670c6f3b_b.jpg,5-star hotel,8.0 Very good,$235 nightly,"$1,408",1.2926954,103.8502785
The Clan Hotel Singapore by Far East Hospitality,https://app.navan.com/app/user2/search/hotels/5470ac83-7ac7-4e66-b099-1fc927ea15be/hotels/8f00dfa6-6bda-41c7-8fa3-dfbe7d9e195e,https://i.travelapi.com/lodging/46000000/45540000/45537000/45536906/ce526780_b.jpg,5-star hotel,9.0 Excellent,$248 nightly,"$1,484",,
"Capri By Fraser China Square, Singapore",https://app.navan.com/app/user2/search/hotels/5470ac83-7ac7-4e66-b099-1fc927ea15be/hotels/3aa956ad-a079-40b7-8ab8-18b71a3d99a1,https://i.travelapi.com/lodging/35000000/34840000/34834500/34834462/aec32124_b.jpg,5-star hotel,8.7 Very good,$168 nightly,"$1,009",1.2839775,103.8470657
